id	species	gf
434	alb	small
435	chi	small
436	chi	small
437	chi	small
438	chi	small
439	chi	small
440	chi	small
441	chi	small
442	chi	small
443	chi	small
444	chi	small
445	chi	small
446	chi	small
447	chi	small
448	chi	small
449	chi	small
450	chi	small
451	chi	small
452	chi	small
453	chi	small
454	chi	small
455	chi	small
456	chi	small
457	chi	small
458	chi	small
459	chi	small
460	chi	small
461	chi	small
462	chi	small
463	chi	small
464	chi	small
465	chi	small
466	chi	small
467	chi	small
468	chi	small
469	chi	small
470	chi	small
471	chi	small
472	chi	small
473	chi	small
474	chi	small
475	chi	small
476	chi	small
477	chi	small
478	chi	small
479	chi	small
480	chi	small
481	chi	small
482	chi	small
483	chi	small
484	chi	small
485	chi	small
486	lit	hummingbird
487	lit	hummingbird
488	lit	hummingbird
489	lit	hummingbird
490	lit	hummingbird
491	lit	hummingbird
492	lit	hummingbird
493	lit	hummingbird
494	lit	hummingbird
495	lit	hummingbird
496	lit	hummingbird
497	lit	hummingbird
498	mut	large
499	mut	large
500	chi	large
501	chi	large
502	chi	small
