Ind;Taxa;Sitio;Long_ex;Long_int;Diam_cor;Long_cor;Diam_in_cor;Ap_floral;Prof_nec;Long_est;Long_ant;Dist_ant_b;Dist_ext_b;r*100;c*100;t;r_aleat;c_aleat;t_aleat;Alloscirtetica_lanosa;Anthrenoides_sp;Apis_melifera;Caenohalictus_rostraticeps;Caenohalictus_cyanopygus;Caenohalictus_sp;Chilicola_mantagua;Chilicola_sp;Corynura_herbsti;Diadasia_chilensis;Dialictus_sp1;Dialictus_sp2;Liphantus_sp;Patagonas_gigas;Trichothurgus_dubius;Xenochilicola_diminuta;Alloscirtetica_lanosa_fix;Anthrenoides_sp_fix;Apis_melifera_fix;Caenohalictus_rostraticeps_fix;Caenohalictus_cyanopygus_fix;Caenohalictus_sp_fix;Chilicola_mantagua_fix;Chilicola_sp_fix;Corynura_herbsti_fix;Diadasia_chilensis_fix;Dialictus_sp1_fix;Dialictus_sp2_fix;Liphantus_sp_fix;Patagonas_gigas_fix;Trichothurgus_dubius_fix;Xenochilicola_diminuta_fix
116;E_lit;Pichidangui;34.82;36.63;36.19;21.38;15.49;11.8;3.4;33.05;17.48;10.12;5.12;8;5;104;11;30;282;0;0;0;0.29318738;-0.048455318;0;0;0;0;0;-0.4768058;0;0;1.400811028;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
117;E_lit;Pichidangui;38.51;35.12;31.2;19.85;12.61;10.48;4.7;29.89;20.33;6.92;2.78;18;2;119;2;-8;250;0;0;0;0.63021172;0.330908714;0;0;0;0;0;3.3247243;0;0;2.113469986;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
118;E_lit;Pichidangui;40;33.5;31.29;25.77;11.61;10.67;3.73;27.97;16.61;4.7;2.13;7;7;61;-88;-2;158;0;0;0;-0.4533472;-0.024672138;0;0;0;0;0;3.9001191;0;0;2.590222782;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
119;E_lit;Pichidangui;35.26;33.19;26.49;21.48;10.69;7.76;3.83;32.56;17.19;5.59;2.28;6;5;17;161;-6;220;0;0;0;0.45134935;0.338090834;0;0;0;0;0;3.598321;0;0;1.986946231;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
120;E_lit;Pichidangui;39.26;36.6;22.62;21.52;11.16;7.12;2.89;31.21;21.87;5.83;2.75;3;2;46;39;13;-33;0;0;0;0.02790546;0.080488082;0;0;0;0;0;0.5630978;0;0;1.530043275;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
121;E_lit;Pichidangui;40.23;34.45;32.03;24.11;9.56;10.32;4.43;33.25;18.66;6.09;3.13;16;3;125;79;-11;362;0;0;0;0.06276335;-0.119835396;0;0;0;0;0;2.058601;0;0;2.253604847;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
122;E_lit;Pichidangui;29.99;28.05;22.38;18.91;11.83;7.66;1.97;21.25;14.3;3.85;1.88;10;4;134;-130;11;489;0;0;0;0.5424042;-0.120701801;0;0;0;0;0;-4.8970643;0;0;1.949067567;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
123;E_lit;Pichidangui;43.02;38.08;37;24.25;10.06;9.33;4.22;34.22;20.8;7.64;3.81;12;6;20;65;12;-81;0;0;0;0.3755684;0.058462902;0;0;0;0;0;0.1512801;0;0;2.725562792;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
124;E_lit;Pichidangui;41.39;35.14;32.14;26.88;11.65;8.77;3.91;28.16;18.23;8.41;3.81;18;6;49;78;3;-9;0;0;0;0.38188047;0.212031101;0;0;0;0;0;-1.6024687;0;0;1.477996532;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
125;E_lit;Pichidangui;40.93;40.01;30.05;23.18;15.01;9.21;3.4;33.04;23.5;5.99;2.8;3;3;65;-153;14;107;0;0;0;0.35418309;0.077948207;0;0;0;0;0;-1.2734509;0;0;1.92906207;0;0;0;0;0;3;1;0;0;0;0;0;8;0;0;52;0;0
