id	species	pol
252	mut	Anthrenoides_sp
253	mut	Anthrenoides_sp
254	mut	Anthrenoides_sp
255	mut	Anthrenoides_sp
256	mut	Anthrenoides_sp
257	mut	Anthrenoides_sp
258	mut	Anthrenoides_sp
259	mut	Anthrenoides_sp
260	mut	Anthrenoides_sp
261	mut	Anthrenoides_sp
262	mut	Anthrenoides_sp
263	mut	Anthrenoides_sp
264	mut	Anthrenoides_sp
265	mut	Anthrenoides_sp
266	mut	Anthrenoides_sp
267	mut	Anthrenoides_sp
268	mut	Anthrenoides_sp
269	mut	Anthrenoides_sp
270	mut	Anthrenoides_sp
271	mut	Anthrenoides_sp
272	mut	Anthrenoides_sp
273	mut	Anthrenoides_sp
274	mut	Anthrenoides_sp
275	mut	Anthrenoides_sp
276	mut	Anthrenoides_sp
277	mut	Anthrenoides_sp
278	mut	Anthrenoides_sp
279	mut	Anthrenoides_sp
280	mut	Anthrenoides_sp
281	mut	Anthrenoides_sp
282	mut	Anthrenoides_sp
283	mut	Anthrenoides_sp
284	mut	Anthrenoides_sp
285	mut	Anthrenoides_sp
286	mut	Anthrenoides_sp
287	mut	Anthrenoides_sp
288	mut	Anthrenoides_sp
289	mut	Anthrenoides_sp
290	mut	Anthrenoides_sp
291	mut	Anthrenoides_sp
292	mut	Anthrenoides_sp
293	mut	Anthrenoides_sp
294	mut	Anthrenoides_sp
295	mut	Anthrenoides_sp
296	mut	Anthrenoides_sp
297	mut	Anthrenoides_sp
298	mut	Anthrenoides_sp
299	mut	Anthrenoides_sp
300	mut	Anthrenoides_sp
301	mut	Anthrenoides_sp
302	mut	Anthrenoides_sp
303	mut	Anthrenoides_sp
304	mut	Anthrenoides_sp
305	mut	Anthrenoides_sp
306	mut	Anthrenoides_sp
307	mut	Anthrenoides_sp
308	mut	Anthrenoides_sp
309	mut	Anthrenoides_sp
310	mut	Anthrenoides_sp
311	mut	Anthrenoides_sp
312	mut	Anthrenoides_sp
313	mut	Anthrenoides_sp
314	mut	Anthrenoides_sp
315	mut	Anthrenoides_sp
316	mut	Anthrenoides_sp
317	mut	Anthrenoides_sp
318	mut	Anthrenoides_sp
319	mut	Anthrenoides_sp
320	mut	Anthrenoides_sp
321	mut	Anthrenoides_sp
322	mut	Anthrenoides_sp
323	mut	Anthrenoides_sp
324	mut	Anthrenoides_sp
325	mut	Anthrenoides_sp
326	chi	Caenohalictus_rostraticeps
327	chi	Caenohalictus_rostraticeps
328	mut	Caenohalictus_sp
329	mut	Caenohalictus_sp
330	mut	Caenohalictus_sp
331	mut	Caenohalictus_sp
332	mut	Caenohalictus_sp
333	mut	Caenohalictus_sp
334	mut	Caenohalictus_sp
335	chi	Chilicola_sp
336	chi	Chilicola_sp
337	chi	Chilicola_sp
338	chi	Chilicola_sp
339	chi	Chilicola_sp
340	chi	Chilicola_sp
341	chi	Chilicola_sp
342	chi	Chilicola_sp
343	chi	Chilicola_sp
344	mut	Chilicola_sp
345	mut	Chilicola_sp
346	chi	Corynura_herbsti
347	alb	Corynura_herbsti
348	alb	Dialictus_sp1
349	lit	Dialictus_sp1
350	lit	Dialictus_sp1
351	mut	Dialictus_sp1
352	mut	Dialictus_sp1
353	mut	Dialictus_sp1
354	mut	Dialictus_sp1
355	mut	Dialictus_sp1
356	mut	Dialictus_sp1
357	mut	Dialictus_sp1
358	mut	Dialictus_sp1
359	mut	Dialictus_sp1
360	mut	Dialictus_sp1
361	mut	Dialictus_sp1
362	mut	Dialictus_sp1
363	mut	Dialictus_sp1
